,y_pred,y_pred_fwd,delta_2h,T_set_adjust,Kp_mult,Ki_mult,Kd_mult,T_set
2024-07-26 21:30:00,20.05420498948113,19.73618125161733,-0.3180237378637969,0.2,1.1,1.05,1.0,22.2
2024-07-26 22:00:00,19.896897140020247,19.16908486475399,-0.7278122752662561,0.2,1.1,1.05,1.0,22.2
2024-07-26 22:30:00,19.770283138276,19.27851992073974,-0.49176321753625984,0.2,1.1,1.05,1.0,22.2
2024-07-26 23:00:00,19.800261594804283,19.474630655521935,-0.3256309392823482,0.2,1.1,1.05,1.0,22.2
2024-07-26 23:30:00,19.73618125161733,19.593143996578373,-0.14303725503895848,0.0,1.0,1.0,1.0,22.0
2024-07-27 00:00:00,19.16908486475399,19.677190284632662,0.508105419878671,-0.2,0.9,0.9,1.1,21.8
2024-07-27 00:30:00,19.27851992073974,20.03194295636015,0.7534230356204112,-0.2,0.9,0.9,1.1,21.8
2024-07-27 01:00:00,19.474630655521935,20.233510004433683,0.7588793489117478,-0.2,0.9,0.9,1.1,21.8
2024-07-27 01:30:00,19.593143996578373,20.56426344022456,0.9711194436461881,-0.2,0.9,0.9,1.1,21.8
2024-07-27 02:00:00,19.677190284632662,20.914492268397584,1.2373019837649224,-0.5,0.8,0.8,1.2,21.5
2024-07-27 02:30:00,20.03194295636015,21.322368985859725,1.2904260294995744,-0.5,0.8,0.8,1.2,21.5
2024-07-27 03:00:00,20.233510004433683,21.696414805151193,1.46290480071751,-0.5,0.8,0.8,1.2,21.5
2024-07-27 03:30:00,20.56426344022456,22.08279061779547,1.5185271775709097,-0.5,0.8,0.8,1.2,21.5
2024-07-27 04:00:00,20.914492268397584,22.509062408032143,1.594570139634559,-0.5,0.8,0.8,1.2,21.5
2024-07-27 04:30:00,21.322368985859725,22.927902227692247,1.6055332418325214,-0.5,0.8,0.8,1.2,21.5
2024-07-27 05:00:00,21.696414805151193,23.317595355022444,1.6211805498712515,-0.5,0.8,0.8,1.2,21.5
2024-07-27 05:30:00,22.08279061779547,23.649826934688818,1.567036316893347,-0.5,0.8,0.8,1.2,21.5
2024-07-27 06:00:00,22.509062408032143,24.850966627505578,2.3419042194734345,-0.5,0.8,0.8,1.2,21.5
2024-07-27 06:30:00,22.927902227692247,25.092044906501403,2.1641426788091565,-0.5,0.8,0.8,1.2,21.5
2024-07-27 07:00:00,23.317595355022444,26.14832612475231,2.8307307697298647,-0.5,0.8,0.8,1.2,21.5
2024-07-27 07:30:00,23.649826934688818,26.32338727365557,2.6735603389667517,-0.5,0.8,0.8,1.2,21.5
2024-07-27 08:00:00,24.850966627505578,25.669431595214544,0.8184649677089659,-0.2,0.9,0.9,1.1,21.8
2024-07-27 08:30:00,25.092044906501403,25.736802366284884,0.6447574597834809,-0.2,0.9,0.9,1.1,21.8
2024-07-27 09:00:00,26.14832612475231,24.966916985671883,-1.1814091390804258,0.5,1.2,1.1,1.0,22.5
2024-07-27 09:30:00,26.32338727365557,25.036479241519682,-1.2869080321358872,0.5,1.2,1.1,1.0,22.5
2024-07-27 10:00:00,25.669431595214544,25.927342431183785,0.25791083596924125,0.0,1.0,1.0,1.0,22.0
2024-07-27 10:30:00,25.736802366284884,25.866090341687162,0.12928797540227777,0.0,1.0,1.0,1.0,22.0
2024-07-27 11:00:00,24.966916985671883,26.488914148678134,1.521997163006251,-0.5,0.8,0.8,1.2,21.5
2024-07-27 11:30:00,25.036479241519682,26.27478835707835,1.2383091155586676,-0.5,0.8,0.8,1.2,21.5
2024-07-27 12:00:00,25.927342431183785,25.135654202009707,-0.7916882291740777,0.2,1.1,1.05,1.0,22.2
2024-07-27 12:30:00,25.866090341687162,24.977443785994776,-0.8886465556923859,0.2,1.1,1.05,1.0,22.2
2024-07-27 13:00:00,26.488914148678134,23.87182684312883,-2.6170873055493047,0.5,1.2,1.1,1.0,22.5
2024-07-27 13:30:00,26.27478835707835,23.665522636805854,-2.6092657202724965,0.5,1.2,1.1,1.0,22.5
2024-07-27 14:00:00,25.135654202009707,23.463298053023326,-1.6723561489863812,0.5,1.2,1.1,1.0,22.5
2024-07-27 14:30:00,24.977443785994776,23.11499025438576,-1.8624535316090167,0.5,1.2,1.1,1.0,22.5
2024-07-27 15:00:00,23.87182684312883,22.72952333882387,-1.1423035043049588,0.5,1.2,1.1,1.0,22.5
2024-07-27 15:30:00,23.665522636805854,22.37729728245026,-1.2882253543555926,0.5,1.2,1.1,1.0,22.5
2024-07-27 16:00:00,23.463298053023326,22.84151024836695,-0.6217878046563747,0.2,1.1,1.05,1.0,22.2
2024-07-27 16:30:00,23.11499025438576,22.452756900304635,-0.662233354081124,0.2,1.1,1.05,1.0,22.2
2024-07-27 17:00:00,22.72952333882387,22.702827018226166,-0.026696320597704215,0.0,1.0,1.0,1.0,22.0
2024-07-27 17:30:00,22.37729728245026,22.402896858344356,0.025599575894094784,0.0,1.0,1.0,1.0,22.0
2024-07-27 18:00:00,22.84151024836695,21.165544284004344,-1.6759659643626073,0.5,1.2,1.1,1.0,22.5
2024-07-27 18:30:00,22.452756900304635,20.90590088263506,-1.546856017669576,0.5,1.2,1.1,1.0,22.5
2024-07-27 19:00:00,22.702827018226166,19.947824950788632,-2.755002067437534,0.5,1.2,1.1,1.0,22.5
2024-07-27 19:30:00,22.402896858344356,19.712918743626062,-2.6899781147182935,0.5,1.2,1.1,1.0,22.5
2024-07-27 20:00:00,21.165544284004344,19.58819699620822,-1.5773472877961225,0.5,1.2,1.1,1.0,22.5
2024-07-27 20:30:00,20.90590088263506,19.406201082112062,-1.499699800522997,0.5,1.2,1.1,1.0,22.5
2024-07-27 21:00:00,19.947824950788632,19.343398182700195,-0.6044267680884374,0.2,1.1,1.05,1.0,22.2
2024-07-27 21:30:00,19.712918743626062,19.29981988904646,-0.4130988545796015,0.2,1.1,1.05,1.0,22.2
2024-07-27 22:00:00,19.58819699620822,19.91151917870896,0.3233221825007391,-0.2,0.9,0.9,1.1,21.8
2024-07-27 22:30:00,19.406201082112062,20.58591273177992,1.1797116496678584,-0.5,0.8,0.8,1.2,21.5
2024-07-27 23:00:00,19.343398182700195,20.840595185756563,1.4971970030563675,-0.5,0.8,0.8,1.2,21.5
2024-07-27 23:30:00,19.29981988904646,21.07524059409599,1.7754207050495303,-0.5,0.8,0.8,1.2,21.5
2024-07-28 00:00:00,19.91151917870896,21.303576453514697,1.3920572748057367,-0.5,0.8,0.8,1.2,21.5
2024-07-28 00:30:00,20.58591273177992,21.624562024856615,1.0386492930766948,-0.5,0.8,0.8,1.2,21.5
2024-07-28 01:00:00,20.840595185756563,21.964733373451043,1.1241381876944807,-0.5,0.8,0.8,1.2,21.5
